Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
RELICTEC.BO,0.45752132152487596,0.022942678608186454,9091.34,0.079,19.941931338462904,,,,Relic Technologies Limited
LIQUIDSHRI.NS,0.005004870803338289,0.0002696636013594265,6.17,0.001,18.559682426948854,,,,Shriram Nifty 1D Rate Liquid ETF
OMANSH.BO,0.4270957992672305,0.023126970971592976,7035.72,0.08,18.46743353428494,,,,OMANSH ENTERPRISES LTD
ELITECON.BO,0.47167976955787183,0.031982410892497856,10221.9,0.111,14.748099233147999,,,,Elitecon International Ltd
LIQUIDCASE.NS,0.005128583827426605,0.00035625687988257863,6.33,0.001,14.395746768783729,-0.003150410555638016,0.003,No,Zerodha Nifty 1D Rate Liquid ETF
LIQUIDADD.NS,0.005103597457547374,0.00036335711347892593,6.3,0.001,14.045679218120972,-0.0027832830190240767,0.003,No,DSP S&P BSE Liquid Rate ETF
LIQUIDPLUS.NS,0.0051346133482903095,0.00042839134022698474,6.34,0.001,11.98580098647586,,,,Mirae Asset Nifty 1D Rate Liquid ETF-Growth
PARSHWANA.BO,0.03473838842888177,0.0029042109761698047,50.65,0.01,11.961385971585376,,,,Parshwanath Corporation Limited
COLAB.BO,0.44429262639804706,0.04490010763099732,8138.77,0.156,9.895134997211553,,,,Colab Platforms Limited
GROWWLIQID.NS,0.005156613210204776,0.000575721736760624,6.37,0.002,8.956780473878155,,,,Groww Nifty 1D Rate Liquid ETF
GHVINFRA.BO,0.5036452341263671,0.06329603780815644,13258.1,0.219,7.956978849969444,,,,GHV Infra Projects Ltd
RRP.BO,0.5063426162092258,0.06418566793606655,13548.51,0.222,7.888717722990416,,,,Rrp Semiconductor Limited
RAJTUBE.BO,0.36666761794760255,0.05130998189565774,4145.75,0.178,7.1461264339021895,,,,Rajasthan Tube Manufacturing Company Limited
BLUECOAST.BO,0.41990571007134825,0.05905505665801768,6616.05,0.205,7.110410756236897,,,,Blue Coast Hotels Limited
INNOVATIVE.BO,0.09094286170499077,0.017685326304032474,184.2,0.061,5.142277848967631,,,,Innovative Ideals and Services (India) Limited
GSEC10ABSL.NS,0.01374084028517953,0.002738527401036486,17.79,0.009,5.017601898005058,,,,Aditya BSL CRISIL 10 Year Gilt ETF
RODIUM.BO,0.03745752213782553,0.008220171187981762,55.47,0.028,4.5567812739216444,,,,Rodium Realty Limited
ARISINT.BO,0.6102201160960611,0.14046804255990777,30282.46,0.487,4.344191781812651,,,,Aris International Ltd
LIQUIDETF.NS,0.004519395715780525,0.0014774219522062353,5.56,0.005,3.058974255142011,0.004846039579249974,0.005,Yes,DSP NIFTY 1D Rate Liquid ETF
