Date,AKO1L.VS,AMG1L.VS,APG1L.VS,AUG1L.VS,GRG1L.VS,IGN1L.VS,INC1L.VS,INL1L.VS,INR1L.VS,IVL1L.VS,KNE1L.VS,KNR1L.VS,LGD1L.VS,NTU1L.VS,PTR1L.VS,PZV1L.VS,RSU1L.VS,SAB1L.VS,TEL1L.VS,UTR1L.VS,VBL1L.VS,VLP1L.VS,ZMP1L.VS,^OMXV
2024-04-30,0.9897302985191344,1.0497512817382812,2.7775919437408447,0.2899999916553497,1.045312523841858,17.18705940246582,2.2799999713897705,6.0,1.9299999475479128,12.10161304473877,0.2140144109725952,0.9350000023841858,0.6278345584869385,2.940000057220459,0.5099999904632568,1.305000066757202,2.775921106338501,0.6307221055030823,1.600529432296753,0.4600000083446502,8.425310134887695,5.087686538696289,1.6997126340866089,
2024-05-31,1.0921162366867063,1.1299999952316284,2.734999895095825,0.2879999876022339,1.0950000286102295,16.981563568115234,2.5199999809265137,6.5,2.0799999237060547,12.300000190734863,0.2199999988079071,0.949999988079071,0.6850000023841858,2.4600000381469727,0.5320000052452087,1.2599999904632568,3.0999999046325684,0.6494379043579102,1.6050000190734863,0.4300000071525574,8.192566871643066,5.5,1.7599999904632568,
2024-06-28,1.1506223678588867,1.1399999856948853,2.755000114440918,0.2939999997615814,1.0299999713897705,17.18705940246582,2.5999999046325684,6.400000095367432,2.0799999237060547,13.899999618530272,0.2269999980926513,0.9800000190734864,0.675000011920929,2.1600000858306885,0.5080000162124634,1.2899999618530271,3.180000066757202,0.644758939743042,1.5449999570846558,0.4300000071525574,8.378761291503906,5.900000095367432,1.809999942779541,
2024-07-31,1.145746827125549,1.1399999856948853,2.755000114440918,0.2619999945163727,1.0099999904632568,17.46728515625,2.680000066757202,6.199999809265137,2.059999942779541,14.600000381469728,0.2349999994039535,0.949999988079071,0.699999988079071,1.870000004768372,0.5220000147819519,1.350000023841858,3.200000047683716,0.676575779914856,1.5800000429153442,0.3000000119209289,7.447787761688232,6.199999809265137,1.830000042915344,
2024-08-30,1.1262447834014893,1.1299999952316284,2.755000114440918,0.1930000036954879,1.0149999856948853,17.26178550720215,2.819999933242798,6.25,2.119999885559082,14.600000381469728,0.231000006198883,0.949999988079071,0.7300000190734863,1.5,0.5299999713897705,1.3600000143051147,3.220000028610229,0.6672179102897644,1.5750000476837158,0.2560000121593475,7.680531024932861,7.159999847412109,1.840000033378601,
2024-09-30,1.1164937019348145,1.1200000047683716,2.815000057220459,0.1354999989271164,1.0149999856948853,18.175575256347656,3.400000095367432,6.349999904632568,2.200000047683716,14.300000190734863,0.2290000021457672,0.949999988079071,0.7200000286102295,1.5750000476837158,0.4860000014305115,1.409999966621399,3.380000114440918,0.6747041940689087,1.5950000286102295,0.25,8.099469184875488,7.039999961853027,2.1600000858306885,
2024-10-31,1.2140041589736938,1.1299999952316284,2.880000114440918,0.1180000007152557,1.0149999856948853,18.659482955932617,3.5999999046325684,6.349999904632568,2.2799999713897705,15.800000190734863,0.2339999973773956,0.9300000071525574,0.7400000095367432,1.5750000476837158,0.4900000095367431,1.409999966621399,3.380000114440918,0.7701547145843506,1.6050000190734863,0.2399999946355819,8.797698974609375,7.559999942779541,2.4600000381469727,
2024-11-29,1.1699999570846558,1.159999966621399,2.8350000381469727,0.0546000003814697,1.0099999904632568,18.272356033325195,3.1600000858306885,6.349999904632568,2.299999952316284,16.600000381469727,0.2339999973773956,0.915000021457672,0.75,1.4600000381469729,0.4799999892711639,1.4600000381469729,3.3399999141693115,0.7738978862762451,1.590000033378601,0.2460000067949295,9.58902645111084,7.800000190734863,2.299999952316284,
2024-12-30,1.1649999618530271,1.159999966621399,2.924999952316284,0.0608000010251998,1.0499999523162842,18.949827194213867,3.220000028610229,6.300000190734863,2.640000104904175,18.799999237060547,0.2370000034570694,0.9300000071525574,0.7799999713897705,1.434999942779541,0.4950000047683716,1.6200000047683716,3.5999999046325684,0.7710905075073242,1.5750000476837158,0.2980000078678131,9.868319511413574,8.140000343322754,2.259999990463257,
2025-01-31,1.2200000286102295,1.2400000095367432,3.009999990463257,0.1150000020861625,1.065000057220459,20.37251663208008,3.220000028610229,6.150000095367432,2.7799999713897705,19.0,0.2750000059604645,0.9399999976158142,0.8100000023841858,1.5499999523162842,0.5659999847412109,1.7100000381469729,3.9800000190734863,0.8627978563308716,1.6399999856948853,0.3199999928474426,11.399999618530272,8.960000038146973,2.4600000381469727,
2025-02-28,1.2999999523162842,1.2699999809265137,3.0299999713897705,0.1089999973773956,1.0850000381469729,20.178953170776367,3.319999933242798,6.25,2.8399999141693115,19.5,0.2879999876022339,1.100000023841858,0.8149999976158142,1.5499999523162842,0.578000009059906,1.7200000286102295,3.920000076293945,0.8871284127235413,1.6349999904632568,0.2860000133514404,13.600000381469728,9.300000190734863,3.2799999713897705,
2025-03-31,1.2100000381469729,1.2699999809265137,3.039999961853028,0.0917999967932701,1.0800000429153442,20.517690658569336,3.4200000762939453,6.25,2.759999990463257,19.200000762939453,0.2770000100135803,1.7799999713897705,0.8100000023841858,1.6100000143051147,0.6880000233650208,1.649999976158142,4.099999904632568,0.8805778622627258,1.6399999856948853,0.270000010728836,13.300000190734863,9.279999732971191,3.200000047683716,
