Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Kiwoom No.10 SPAC,487720.KQ,26.77,0.035,,
2,Shinhan 14th SPAC,487360.KQ,19.25,0.033,,
3,Kiwoom No.11 SPAC,489480.KQ,16.1,0.036,,
4,Samsung Special Purpose Acquisition 7 Company,439250.KQ,7.48,0.021,0.012,Yes
5,Daishin Balance No.19 Special Purpose Acquisition Co Ltd,482690.KQ,7.38,0.023,,
6,"IDP Corp.,Ltd",332370.KQ,57.31,0.16,0.091,No
7,Hana Financial Twenty-five Special Purpose Acquisition Company,435620.KQ,7.95,0.028,0.009,Yes
8,T3 Entertainment Inc.,204610.KQ,55.0,0.165,0.552,No
9,Youngone Corporation,111770.KS,50.91,0.169,0.009,No
10,"Korea Investment Holdings Co., Ltd.",071055.KS,47.35,0.164,0.714,Yes
11,"Yuhwa Securities co.,ltd.",003460.KS,20.38,0.081,0.056,No
12,KT Corporation,030200.KS,57.25,0.219,0.286,Yes
13,"Hanil Cement Co., Ltd.",300720.KS,44.69,0.194,0.296,Yes
14,Woori Financial Group Inc.,316140.KS,38.48,0.177,0.569,Yes
15,"Dongbang Ship Machinery Co., Ltd.",099410.KQ,59.13,0.267,1.175,Yes
16,"Korea Environment Technology Co., LTD.",029960.KQ,44.15,0.215,0.765,No
17,"Seoho Electric Co.,Ltd",065710.KQ,31.35,0.164,0.31,No
18,Korean Reinsurance Company,003690.KS,32.98,0.172,0.014,No
19,"SK Gas Co., Ltd.",018670.KS,46.44,0.236,0.315,No
20,DCM Corp.,024090.KS,24.93,0.137,0.013,No
21,Samsung Special Purpose Acquisition 8 Company,448740.KQ,6.22,0.037,0.046,Yes
22,"KEPCO Plant Service & Engineering Co.,Ltd.",051600.KS,29.49,0.163,0.035,Yes
23,"NH Prime REIT Co., Ltd.",338100.KS,21.72,0.124,0.238,Yes
24,"Hanil Holdings Co., Ltd.",003300.KS,19.42,0.116,0.066,Yes
25,Industrial Bank of Korea,024110.KS,22.67,0.137,0.603,Yes
26,"Hyundai Green Food Co., Ltd",453340.KS,38.71,0.234,0.234,No
27,"Yuhwa Securities co.,ltd.",003465.KS,18.88,0.126,0.229,No
28,DB Finance No.13 SPAC,489730.KQ,9.33,0.066,,
29,"DGB Financial Group Co., Ltd.",139130.KS,38.37,0.244,0.741,Yes
30,"Cuckoo Holdings Co., Ltd.",192400.KS,22.8,0.158,0.276,Yes
31,"Jin Yang Pharmaceutical Co., Ltd.",007370.KQ,31.01,0.215,1.12,Yes
32,"Hanla IMS Co., Ltd.",092460.KQ,52.03,0.335,0.582,Yes
33,Huneed Technologies,005870.KS,31.1,0.216,0.855,No
34,"PlumbFast Co., Ltd.",035200.KQ,60.54,0.381,0.865,No
35,DN Automotive Corporation,007340.KS,40.35,0.276,0.497,Yes
36,"NICE Information Service Co., Ltd.",030190.KS,26.63,0.198,0.284,Yes
37,"INVENI Co., Ltd.",015360.KS,24.84,0.187,0.129,Yes
38,"Anterogen.Co.,Ltd.",065660.KQ,58.66,0.395,0.155,Yes
39,"ASIA Holdings CO., Ltd.",002030.KS,10.56,0.086,0.351,Yes
40,"Shinyoungwacoal,Inc.",005800.KS,19.1,0.151,0.533,Yes
41,ATON Inc.,158430.KQ,51.33,0.366,0.514,No
42,"BioNote, Inc.",377740.KS,18.93,0.154,0.258,No
43,Assems Inc.,136410.KQ,32.28,0.249,0.504,Yes
44,"Daehan Steel Co., Ltd.",084010.KS,32.48,0.258,1.143,No
45,"Korea Export Packaging Industrial Co.,Ltd",002200.KS,14.09,0.121,0.092,No
46,"Neo Cremar Co., Ltd.",311390.KQ,49.79,0.378,0.933,Yes
47,"HYBE Co., Ltd.",352820.KS,44.66,0.348,1.267,Yes
48,"Hyundai G.F. Holdings Co., Ltd.",005440.KS,30.18,0.25,0.07,No
49,BNK Financial Group Inc.,138930.KS,38.98,0.316,0.45,Yes
50,"Seohee Construction Co., Ltd.",035890.KQ,32.9,0.274,0.274,No
51,"Samyung Trading Co., Ltd.",002810.KS,10.8,0.098,0.065,No
52,Hanjin Kal,180640.KS,31.86,0.268,0.269,Yes
53,Dong Suh Companies Inc.,026960.KS,60.98,0.467,1.39,No
54,"Kyung Dong Navien Co., Ltd.",009450.KS,56.53,0.443,1.013,No
55,KB No.30 SPAC,486630.KQ,2.17,0.021,,
56,"SM Entertainment Co., Ltd.",041510.KQ,54.37,0.441,0.003,No
57,Hana 34 Special Purpose Acquisition Co,484130.KQ,3.67,0.036,,
58,"Samyoung Electronics Co., Ltd",005680.KS,16.14,0.151,0.002,No
59,"EASY BIO,Inc.",353810.KQ,37.02,0.323,1.468,Yes
60,"Seegene, Inc.",096530.KQ,37.87,0.334,0.214,Yes
61,"Hyundai Mobis Co.,Ltd",012330.KS,36.45,0.324,1.442,Yes
62,"Cube Entertainment, Inc.",182360.KQ,47.15,0.407,0.723,No
63,"Korea Ratings Co., Ltd.",034950.KQ,7.1,0.071,0.258,Yes
64,Neptune Company,217270.KQ,36.17,0.332,0.674,Yes
65,"Youngone Holdings Co., Ltd.",009970.KS,19.5,0.191,0.273,No
66,"HD Hyundai Co., Ltd.",267250.KS,25.44,0.245,0.999,Yes
67,"SeAH SPECIAL STEEL CO., LTD.",019440.KS,4.6,0.049,0.021,No
68,WebCash Corporation,053580.KQ,58.17,0.509,0.233,No
69,"Doosan Enerbility Co., Ltd.",034020.KS,60.17,0.527,2.349,Yes
70,"ezCaretech Co., LTD",099750.KQ,13.19,0.137,0.212,Yes
71,"Samsung Fire & Marine Insurance Co., Ltd.",000815.KS,16.52,0.171,0.428,Yes
72,HL D&I Halla Corporation,014790.KS,31.47,0.307,1.47,Yes
73,"SI Resources Co., Ltd.",065420.KQ,48.83,0.454,0.205,Yes
74,Yw Company Limited,051390.KQ,9.27,0.101,0.336,Yes
75,"HWASEUNG Industries Co.,Ltd.",006060.KS,19.73,0.207,0.025,Yes
76,"HNK Machine Tool Co., Ltd.",101680.KQ,58.79,0.54,0.138,Yes
77,Medy-Tox Inc.,086900.KQ,53.52,0.501,1.768,Yes
78,"Hankook Furniture Co., Ltd.",004590.KQ,15.45,0.167,0.157,Yes
79,"Kangwon Land, Inc.",035250.KS,21.4,0.225,0.45,No
80,Hojeon Limited,111110.KS,24.34,0.257,0.337,No
81,"Yuanta Securities Korea Co., Ltd.",003470.KS,20.38,0.22,0.952,Yes
82,"SNT Motiv Co., Ltd.",064960.KS,32.64,0.338,1.806,Yes
83,"Namkwang Engineering & Construction Co., Ltd.",001260.KS,51.96,0.504,0.207,No
84,"SK Reits Co., Ltd.",395400.KS,19.75,0.215,1.073,Yes
85,Hanyang Securities Co. Ltd.,001750.KS,45.4,0.453,0.831,Yes
86,"Shinyoung Securities Co., Ltd.",001720.KS,30.69,0.323,0.626,Yes
87,"NH All-One REIT Co., Ltd.",400760.KS,11.62,0.135,0.461,Yes
88,"Inscobee., Inc.",006490.KS,63.51,0.615,0.004,No
89,"MEDIPOST Co., Ltd.",078160.KQ,59.34,0.585,1.798,No
90,"Kukbo Design Co., Ltd.",066620.KQ,12.68,0.152,0.32,No
91,KSS Line Ltd.,044450.KS,15.49,0.184,0.28,Yes
92,KISCO Holdings Corp.,001940.KS,15.6,0.185,0.23,No
93,"Intergis Co., Ltd",129260.KS,29.16,0.329,0.849,Yes
94,"Seouleaguer Co., Ltd.",043710.KQ,34.93,0.387,2.553,Yes
95,NAVER Corporation,035420.KS,24.13,0.278,0.054,No
96,"Daewoong Pharmaceutical Co., Ltd",069620.KS,50.34,0.531,0.862,Yes
97,"Korea Asset Investment Securities Co., Ltd.",190650.KQ,23.91,0.28,1.628,Yes
98,"Haitai Confectionery&Foods Co.,ltd.",101530.KS,34.57,0.389,1.842,Yes
99,"Galaxia Moneytree Co., Ltd.",094480.KQ,58.91,0.613,0.589,Yes
100,"Mirae Asset Vision Special Purpose Acquisition 2 Company Co., Ltd.",446190.KQ,11.62,0.143,0.785,Yes
101,"JB Financial Group Co., Ltd.",175330.KS,33.82,0.388,0.509,Yes
102,"Dongwoon Anatech Co., Ltd.",094170.KQ,30.5,0.36,0.339,Yes
103,"Sebang Co., Ltd",004365.KS,4.41,0.058,0.079,Yes
104,GS Engineering & Construction Corporation,006360.KS,34.8,0.408,0.158,Yes
105,"Openknowl Co.,Ltd.",440320.KQ,62.03,0.666,2.409,Yes
106,"JCH Systems, Inc.",033320.KQ,37.91,0.442,0.591,No
107,"CMG Pharmaceutical Co., Ltd.",058820.KQ,27.49,0.34,1.5,Yes
108,DaishinBalanceNo.18 SPAC,478780.KQ,3.83,0.052,,
109,Nexen Corporation,005720.KS,9.95,0.134,0.284,Yes
110,"Silla Textile Co.,Ltd",001000.KQ,55.77,0.642,0.011,Yes
111,"SK Biopharmaceuticals Co., Ltd.",326030.KS,40.35,0.489,0.797,No
112,"Zinus, Inc",013890.KS,38.7,0.475,2.666,No
113,"HD Hyundai Construction Equipment Co., LTD.",267270.KS,28.79,0.367,0.555,Yes
114,Hyundai Corporation,011760.KS,25.9,0.335,1.451,Yes
115,"Husteel Co., Ltd.",005010.KS,17.9,0.241,1.133,Yes
116,"Naintech CO.,LTD.",267320.KQ,60.32,0.702,0.326,Yes
117,"Daishin Information & Communications Co.,Ltd.",020180.KQ,20.5,0.275,0.053,Yes
118,"DAEYANG ELECTRIC.Co.,Ltd.",108380.KQ,32.61,0.418,0.888,Yes
119,Shinhan 15th Special Purpose Acquisition Company Co Ltd,487830.KQ,1.83,0.027,,
120,"BINEX Co., Ltd.",053030.KQ,54.31,0.651,1.873,Yes
121,"Sejin Heavy Industries Co., Ltd.",075580.KS,59.17,0.701,3.694,Yes
122,"HFR, Inc.",230240.KQ,61.86,0.728,0.175,No
123,CJ Freshway Corporation,051500.KQ,19.94,0.272,0.812,Yes
124,"NICE Holdings Co., Ltd.",034310.KS,10.13,0.145,0.013,Yes
125,"Asia Cement Co.,Ltd.",183190.KS,11.47,0.164,0.688,Yes
126,"Micro Contact Solution Co., Ltd.",098120.KQ,57.86,0.7,2.0,Yes
127,"SOLiD, Inc.",050890.KQ,40.9,0.527,0.515,Yes
128,KB Financial Group Inc.,105560.KS,25.38,0.347,0.748,Yes
129,"Kolmar Korea Co., Ltd.",161890.KS,32.78,0.437,1.996,Yes
130,Great Rich Technologies Limited,900290.KQ,50.98,0.645,1.838,Yes
131,"Tplex Co., Ltd.",081150.KQ,14.32,0.208,0.83,Yes
132,"CyberOne Co., Ltd",356890.KQ,35.08,0.48,2.235,Yes
133,"Cell Biotech Co., Ltd.",049960.KQ,11.89,0.178,0.427,Yes
134,"SPC Samlip Co., Ltd.",005610.KS,19.79,0.289,0.246,No
135,"LOTTE rental co.,ltd.",089860.KS,12.88,0.194,0.392,Yes
136,"CUCKOO Homesys Co., Ltd",284740.KS,19.01,0.282,0.982,Yes
137,"Shinpoong Paper Mfg. Co., Ltd",002870.KS,62.08,0.794,1.605,No
138,"VITZROCELL Co.,Ltd.",082920.KQ,15.97,0.242,0.721,Yes
139,Kolon Life Science Inc.,102940.KQ,25.75,0.376,0.699,No
140,"NIBEC Co., Ltd.",138610.KQ,46.59,0.633,2.794,Yes
141,"Samsung Fire & Marine Insurance Co., Ltd.",000810.KS,17.84,0.27,0.939,Yes
142,"Samsung Card Co., Ltd.",029780.KS,13.93,0.215,0.192,Yes
143,"Daedong Steel Co., Ltd.",048470.KQ,27.0,0.396,2.175,Yes
144,Eugene Corporation,023410.KQ,8.74,0.14,0.696,Yes
145,"LOTTE REIT Co., Ltd.",330590.KS,18.57,0.286,0.513,Yes
146,"HS Hwasung Co., Ltd.",002460.KS,10.95,0.175,0.11,No
147,"Sinsin Pharmaceutical Co., Ltd",002800.KQ,31.61,0.466,0.873,Yes
148,"Tong Yang Life Insurance Co., Ltd.",082640.KS,55.17,0.756,4.958,Yes
149,"Samwha Electronics Co.,Ltd.",011230.KS,25.02,0.384,0.7,No
150,"Korea Electric Power Industrial Development Co., Ltd",130660.KS,44.76,0.646,3.991,Yes
151,"Synergy Innovation Co., Ltd.",048870.KQ,14.81,0.239,0.127,Yes
152,"FIRSTEC Co., Ltd",010820.KS,12.39,0.203,0.565,Yes
153,"Daesang Holdings Co., Ltd.",084690.KS,28.63,0.443,1.384,Yes
154,"ES Cube Co., Ltd.",050120.KQ,34.25,0.522,0.142,No
155,"Taeyang Metal Industrial Co., Ltd.",004100.KS,30.43,0.47,2.059,Yes
156,JYP Entertainment Corporation,035900.KQ,51.73,0.745,0.002,Yes
157,Cape Industries Ltd.,064820.KQ,28.42,0.446,1.595,Yes
158,"Sam Chun Dang Pharm. Co., Ltd",000250.KQ,55.15,0.801,2.469,Yes
159,"Shinhan Financial Group Co., Ltd.",055550.KS,21.4,0.352,0.836,Yes
160,Park Systems Corp.,140860.KQ,18.6,0.31,0.105,Yes
161,"Cheil Grinding Wheel Ind. Co., Ltd.",001560.KS,11.12,0.192,0.282,Yes
162,HAATZ Inc.,066130.KQ,21.65,0.365,0.576,Yes
163,"Hanjin Transportation Co., Ltd.",002320.KS,2.91,0.053,0.167,Yes
164,"HMNEX Co., Ltd.",036170.KQ,12.78,0.226,0.242,No
165,"L&C BIO Co.,LTD",290650.KQ,41.08,0.654,1.412,Yes
166,JW Pharmaceutical Corporation,001067.KS,4.55,0.083,0.346,No
167,"MCNEX Co., Ltd",097520.KS,18.1,0.315,0.992,Yes
168,Korea Engineering Consultants Corp.,023350.KS,29.97,0.506,0.287,Yes
169,"SK Square Co., Ltd.",402340.KS,26.6,0.456,2.599,Yes
170,GL Pharm Tech Corp.,204840.KQ,27.62,0.474,0.552,Yes
171,"Skin n Skin Co., Ltd.",159910.KQ,62.02,0.95,4.53,Yes
172,Komelon Corporation,049430.KQ,13.47,0.247,0.024,No
173,Ananti Inc.,025980.KQ,21.65,0.387,1.168,Yes
174,NEOWIZ HOLDINGS Corporation,042420.KQ,15.18,0.279,0.445,No
175,3billion,394800.KQ,24.75,0.438,,
176,"Wonik Holdings Co., Ltd",030530.KQ,33.58,0.577,1.265,Yes
177,"ENVIONEER Co.,Ltd.",317870.KQ,20.3,0.369,1.466,Yes
178,HYUNDAI HYMS,460930.KQ,46.35,0.775,2.283,Yes
179,Revu Corporation,443250.KQ,20.45,0.376,0.379,Yes
180,"Duoback Co., Ltd.",073190.KQ,47.73,0.8,3.77,Yes
181,"Wantedlab, Inc.",376980.KQ,51.07,0.848,2.669,Yes
182,"Hankook & Company Co., Ltd.",000240.KS,7.38,0.144,0.332,No
183,"Moda-InnoChips Co., Ltd.",080420.KQ,14.43,0.275,0.122,Yes
184,"Humedix Co., Ltd.",200670.KQ,25.79,0.473,1.839,No
185,"Histeel Co.,Ltd.",071090.KS,17.58,0.333,1.221,Yes
186,"YEST Co., Ltd.",122640.KQ,53.78,0.896,4.45,Yes
187,"FutureChem Co.,Ltd",220100.KQ,37.91,0.667,0.449,Yes
188,EyeGene Inc.,185490.KQ,19.5,0.368,0.66,Yes
189,Hyosung Heavy Industries Corporation,298040.KS,23.94,0.444,0.542,No
190,Rorze Systems Corporation,071280.KQ,39.04,0.686,1.565,Yes
191,"GAON CABLE Co., Ltd.",000500.KS,41.07,0.721,1.292,Yes
192,Studio Dragon Corporation,253450.KQ,28.84,0.53,0.863,No
193,Visang Education Inc,100220.KS,17.95,0.346,1.124,Yes
194,HVM,295310.KQ,46.27,0.806,,
195,"KT Submarine Co., Ltd.",060370.KQ,26.58,0.499,2.853,Yes
196,SHINSEGAE Information & Communication Inc.,035510.KS,43.11,0.768,1.323,No
197,"STO Co., Ltd.",098660.KQ,32.21,0.606,0.992,No
198,"From Bio Co.,Ltd",377220.KQ,19.82,0.395,0.164,Yes
199,Ubion Co.Ltd.,084440.KQ,28.27,0.547,0.102,Yes
200,"T&L Co., Ltd.",340570.KQ,17.95,0.364,0.679,Yes
201,"Lotte Chilsung Beverage Co., Ltd.",005305.KS,3.26,0.071,0.047,Yes
202,SANIL ELECTRIC,062040.KS,40.93,0.767,,
203,"INFINITT Healthcare Co., Ltd.",071200.KQ,24.11,0.481,1.173,Yes
204,"Caregen Co., Ltd.",214370.KQ,31.25,0.608,0.938,No
205,"Samsung Life Insurance Co., Ltd.",032830.KS,9.81,0.208,0.052,Yes
206,"Hwaseung Corporation Co.,Ltd.",013520.KS,18.68,0.382,1.769,Yes
207,"CHOSUN WELDING POHANG Co., Ltd",120030.KS,4.74,0.103,0.562,Yes
208,"Kuk Young G&M Co., Ltd.",006050.KQ,39.66,0.755,0.641,No
209,"VenueG Co., Ltd.",019010.KQ,9.22,0.198,0.029,Yes
210,"CITECH Co., Ltd.",004920.KS,21.68,0.443,0.055,No
211,"SoftCamp Co., Ltd.",258790.KQ,27.0,0.543,1.621,Yes
212,"Tuksu Engineering & Construction,Ltd.",026150.KQ,17.47,0.367,1.166,Yes
213,SeAH Steel Holdings Corporation,003030.KS,12.29,0.265,0.062,Yes
214,"Miwon Specialty Chemical Co., Ltd.",268280.KS,9.02,0.199,0.251,No
215,Yuanta 13 SPECIAL PURPOSE ACQUISITION COMPANY,449020.KQ,1.68,0.038,0.083,Yes
216,"Eusu Holdings Co., Ltd.",000700.KS,4.93,0.112,0.213,Yes
217,"Castec Korea Co.,Ltd",071850.KQ,30.58,0.629,1.448,No
218,Lumir,474170.KQ,26.78,0.561,,
219,SHINWON CONSTRUCTION COMPANY Ltd,017000.KQ,21.87,0.472,0.048,Yes
220,"Yoosung T&S Co., Ltd",024800.KQ,15.92,0.352,1.417,Yes
221,NH Special Purpose Acquisition 29 Company,451700.KQ,1.41,0.033,0.085,Yes
222,Protia Inc.,303360.KQ,8.73,0.2,1.186,Yes
223,GS Global Corp.,001250.KS,41.83,0.848,4.045,Yes
224,GC Biopharma Corp.,006280.KS,24.17,0.523,1.782,No
225,"SG Global Co.,Ltd.",001380.KS,31.57,0.665,1.073,Yes
226,"KSP Co., Ltd.",073010.KQ,16.95,0.38,1.806,Yes
227,"Chokwang Leather Co.,Ltd.",004700.KS,5.22,0.123,0.176,No
228,Poongsan Holdings Corporation,005810.KS,7.6,0.178,0.109,Yes
229,"Dongil Steelux Co., Ltd.",023790.KQ,19.06,0.428,1.774,Yes
230,"F&F Co., Ltd",383220.KS,17.86,0.405,1.023,Yes
231,Seoul Broadcasting System,034120.KS,27.66,0.607,0.073,No
232,"Woongjin Co., Ltd.",016880.KS,38.38,0.815,2.622,Yes
233,"Curiox Biosystems Co., Ltd",445680.KQ,41.5,0.873,2.713,Yes
234,"Dream Security co., Ltd.",203650.KQ,13.88,0.325,0.84,No
235,"AprilBio Co.,Ltd.",397030.KQ,28.57,0.633,2.414,Yes
236,SOSLAB,464080.KQ,63.3,1.248,,
237,"KPX Chemical Co.,Ltd.",025000.KS,5.28,0.13,0.521,Yes
238,"BAIKSAN Co,. Ltd",035150.KS,14.44,0.342,0.971,Yes
239,"WON TECH Co.,Ltd.",336570.KQ,31.0,0.69,3.18,Yes
240,"Green Chemical Co., Ltd.",083420.KS,32.82,0.732,1.479,Yes
241,"Samil Enterprise Co., Ltd.",002290.KQ,15.6,0.373,0.993,No
242,"Yuyu Pharma, Inc.",000225.KS,7.51,0.187,0.56,Yes
243,"NOVAREX Co.,Ltd.",194700.KQ,19.53,0.462,1.242,Yes
244,Cellbion,308430.KQ,39.56,0.87,,
245,Young Poong Corporation,000670.KS,11.23,0.275,0.637,No
246,"Codes Combine Co., Ltd.",047770.KQ,16.54,0.401,1.001,No
247,"Dyc Co.,Ltd.",310870.KQ,11.54,0.287,0.471,No
248,Neosem Inc.,253590.KQ,28.99,0.675,3.782,Yes
249,"HANSHIN Engineering & Construction Co., Ltd.",004960.KS,12.96,0.321,0.733,Yes
250,"AhnLab, Inc.",053800.KQ,11.52,0.288,0.02,No
251,"M.I.TECH Co.,Ltd",179290.KQ,15.53,0.387,0.41,Yes
252,Sidiz.Inc.,134790.KS,10.36,0.267,1.174,Yes
253,"YBM Net, Inc.",057030.KQ,19.49,0.487,0.299,No
254,Koh Young Technology Inc.,098460.KQ,52.4,1.165,5.283,Yes
255,"IGIS Value Plus REIT Co., Ltd.",334890.KS,5.13,0.137,0.047,No
256,"Dong-A Socio Holdings Co., Ltd.",000640.KS,10.8,0.281,0.215,No
257,"SEOHAN Const. & Eng.co.,Ltd",011370.KQ,6.12,0.166,0.193,No
258,"SELVAS Healthcare, Inc.",208370.KQ,22.37,0.568,0.433,Yes
259,Seoul Auction Co. Ltd.,063170.KQ,21.81,0.564,1.429,Yes
260,Quratis Inc.,348080.KQ,49.79,1.166,3.753,Yes
261,CJ Corporation,00104K.KS,11.87,0.322,0.0,Yes
262,Smac Co. Ltd.,097780.KQ,11.93,0.326,1.224,Yes
263,S-1 Corporation,012750.KS,6.15,0.172,0.638,No
264,"Hanwha Investment & Securities Co., Ltd.",003530.KS,10.18,0.282,0.876,Yes
265,"SKAI worldwide Co., Ltd.",357880.KQ,58.41,1.366,3.134,No
266,"ISU Specialty Chemical Co., Ltd.",457190.KS,55.43,1.31,0.831,Yes
267,Wavice,289930.KQ,33.93,0.863,,
268,DONGBANG AGRO Corporation,007590.KS,1.97,0.057,0.04,Yes
269,"Hankook Cosmetics Manufacturing Co., Ltd",003350.KS,20.09,0.542,0.548,Yes
270,Sajo Industries Company Limited,007160.KS,26.12,0.696,2.17,Yes
271,"Openbase, Inc.",049480.KQ,9.67,0.278,0.667,Yes
272,"Daol Investment & Securities Co., Ltd.",030210.KS,17.87,0.501,1.133,No
273,"Cosmax Nbt, Inc.",222040.KQ,14.14,0.405,1.021,Yes
274,E Kocref Cr-Reit,088260.KS,8.24,0.243,0.595,Yes
275,Deutsch Motors Inc.,067990.KQ,7.02,0.209,0.048,Yes
276,HK inno.N Corporation,195940.KQ,13.56,0.393,0.429,Yes
277,"Gyeongnam Steel Co., Ltd",039240.KQ,29.76,0.815,0.867,No
278,"APR Co., Ltd.",278470.KS,19.53,0.559,0.288,Yes
279,"ATEC MOBILITY Co., Ltd",224110.KQ,25.76,0.721,1.049,No
280,Hanwha Solutions Corporation,009835.KS,22.97,0.652,2.461,Yes
281,Hyundai Motor Company,005387.KS,10.33,0.309,1.494,Yes
282,FreeMs Corporation,053160.KQ,19.67,0.566,0.69,No
283,Daesang Corporation,001680.KS,13.98,0.412,1.75,Yes
284,LF Corp.,093050.KS,5.64,0.172,0.253,No
285,"Omnisystem Co.,Ltd.",057540.KQ,13.76,0.408,1.676,Yes
286,"Hankuk Steel Wire Co., Ltd.",025550.KQ,17.4,0.514,0.444,Yes
287,"HMM Co.,Ltd",011200.KS,7.81,0.242,0.646,Yes
288,"Genohco., Inc.",361390.KQ,14.89,0.448,1.126,Yes
289,"SILICON2 Co., Ltd.",257720.KQ,30.34,0.867,2.973,Yes
290,"Seoul Viosys Co., Ltd",092190.KQ,17.1,0.515,1.718,Yes
291,HBL Corporation,452190.KQ,32.11,0.929,1.199,Yes
292,"Geumhwa Plant Service & Construction Co., Ltd.",036190.KQ,4.53,0.147,0.0,No
293,Korea No.15 SPAC,479880.KQ,1.63,0.054,,
294,"Amotech Co., Ltd.",052710.KQ,23.28,0.701,2.138,Yes
295,Sugentech Inc.,253840.KQ,17.07,0.528,1.634,Yes
296,"Cosmax, Inc.",192820.KS,15.66,0.49,1.764,Yes
297,"Dexter Studios Co.,Ltd.",206560.KQ,15.01,0.473,0.57,No
298,TYM Corporation,002900.KS,17.02,0.537,0.166,No
299,"IGIS RESIDENCE REIT Co., Ltd.",350520.KS,2.76,0.093,0.172,Yes
300,"MOCOMSYS, Inc.",333050.KQ,6.07,0.202,0.481,Yes
301,"The Asia Business Daily Co., Ltd.",127710.KQ,11.77,0.387,1.016,No
302,"Dongbang Transport Logistics Co., Ltd.",004140.KS,20.0,0.64,3.876,Yes
303,Raontec Inc.,232680.KQ,16.16,0.526,3.219,Yes
304,ESTsoft Corp.,047560.KQ,34.06,1.037,1.927,No
305,"Bluecom Co., Ltd.",033560.KQ,9.1,0.307,0.275,Yes
306,"Kyochon Food&Beverage Co., Ltd.",339770.KS,11.75,0.394,0.808,No
307,"SEWON Precision Industry Co., Ltd.",021820.KS,8.54,0.292,1.395,Yes
308,"Namhwa Industrial Co., Ltd.",111710.KQ,5.45,0.189,0.112,Yes
309,Hanwha Solutions Corporation,009830.KS,25.72,0.835,3.152,Yes
310,"JUSUNG ENGINEERING Co.,Ltd.",036930.KQ,12.78,0.437,0.921,Yes
311,Hy-Lok Corporation,013030.KQ,6.87,0.244,1.019,Yes
312,"UNION biometrics Co., Ltd.",203450.KQ,5.93,0.211,0.189,No
313,"Daehyun Co.,Ltd.",016090.KS,6.03,0.216,0.44,No
314,"Osang Healthcare Co.,Ltd",036220.KQ,12.72,0.442,3.202,Yes
315,"Korean Airlines Co.,Ltd.",003490.KS,7.83,0.279,0.844,Yes
316,Hyundai Motor Company,005385.KS,8.04,0.289,1.389,Yes
317,NHN Corporation,181710.KS,10.88,0.387,1.049,Yes
318,Pulmuone Corporate,017810.KS,23.49,0.801,1.363,Yes
319,"Shinhung Co., Ltd",004080.KS,1.09,0.042,0.026,No
320,"Hanssak Co., Ltd.",430690.KQ,31.33,1.06,2.774,Yes
321,"KC Feed Co., Ltd.",025880.KQ,9.47,0.35,0.428,No
322,"OHEIM INT Co.,Ltd.",309930.KQ,21.83,0.772,0.797,No
323,Green Cross Holdings Corporation,005250.KS,8.63,0.323,0.675,No
324,"Seoul Pharma Co., Ltd",018680.KQ,9.11,0.343,0.693,Yes
325,Hannong Chemicals Inc.,011500.KS,22.1,0.8,0.335,Yes
326,"Kolmar Holdings Co.,Ltd.",024720.KS,14.15,0.534,0.526,Yes
327,"SUN&L Co., Ltd.",002820.KS,8.37,0.323,0.828,Yes
328,Stormtec,352090.KQ,6.9,0.271,0.034,No
329,"DL E&C Co.,Ltd.",37550K.KS,3.95,0.16,0.001,No
330,"MiraeING.Co.,Ltd.",007120.KS,14.3,0.556,1.559,Yes
331,"PN Poong Nyun Co., Ltd.",024940.KQ,13.16,0.516,1.468,No
332,"HanmiGlobal Co., Ltd.",053690.KS,10.27,0.411,0.065,Yes
333,"Winhitech Co., Ltd.",192390.KQ,10.95,0.44,0.551,Yes
334,Kakao Pay Corp.,377300.KS,9.83,0.405,0.133,Yes
335,"Douzone Bizon Co., Ltd.",012510.KS,12.03,0.493,1.845,Yes
336,Daou Data Corp.,032190.KQ,4.7,0.199,0.235,Yes
337,"Sungwoo Electronics Co., Ltd.",081580.KQ,14.58,0.594,1.481,Yes
338,"LS ELECTRIC Co., Ltd.",010120.KS,16.02,0.654,3.244,Yes
339,"Aekyungchemical Co., Ltd.",161000.KS,23.08,0.918,3.392,Yes
340,Lunit Inc.,328130.KQ,21.73,0.869,2.326,No
341,"Ewon Comfortech Co., Ltd.",088290.KQ,12.83,0.534,0.656,No
342,"Sbb Tech Co.,Ltd",389500.KQ,18.57,0.756,0.577,Yes
343,Zero to Seven Inc.,159580.KQ,14.61,0.606,0.663,Yes
344,"Mezzion Pharma Co.,Ltd.",140410.KQ,13.34,0.559,0.401,Yes
345,"Korea Steel Co., Ltd.",007280.KS,6.95,0.301,0.039,Yes
346,Dongyang E&P Inc.,079960.KQ,3.8,0.168,0.386,Yes
347,"HLB Co., Ltd.",028300.KQ,16.28,0.685,0.438,Yes
348,"SK oceanplant Co.,Ltd",100090.KS,12.58,0.537,0.444,Yes
349,Stonebridge Ventures Inc.,330730.KQ,7.02,0.308,0.192,No
350,"Studio Mir Co., LTD",408900.KQ,20.66,0.862,0.459,Yes
351,"Dukshinepc Co., Ltd.",090410.KQ,4.83,0.216,0.577,Yes
352,"Daewon Co., Ltd.",007680.KQ,6.16,0.274,0.249,Yes
353,"Wooriro Co., Ltd",046970.KQ,9.67,0.426,0.824,Yes
